num	group	subject	severity	repro	positive	negative	dir
ZT-059	07-robustness	e_ext_cannot_be_empty_sequence	Medium	yes	2	0	07-robustness/ZT-059-e_ext_cannot_be_empty_sequence
ZT-060	08-hygiene	-	Medium	yes	1	0	08-hygiene/ZT-060-a-test-names-a-fixture-it-does-not-lint
ZT-061	08-hygiene	n_multiple_subject_rdn	Low	yes	0	0	08-hygiene/ZT-061-n_multiple_subject_rdn
ZT-062	08-hygiene	-	Low	yes	1	1	08-hygiene/ZT-062-two-lints-anchor-against-a-value-that-may-be
ZT-063	08-hygiene	e_subscribers_crl_distribution_points_are_http	Low	yes	1	1	08-hygiene/ZT-063-e_subscribers_crl_distribution_points_are_ht
ZT-064	08-hygiene	w_qcstatem_qcpds_lang_case	Low	yes	1	1	08-hygiene/ZT-064-w_qcstatem_qcpds_lang_case
ZT-065	08-hygiene	e_rsa_public_exponent_too_small	Low	yes	1	0	08-hygiene/ZT-065-e_rsa_public_exponent_too_small
ZT-066	08-hygiene	e_wrong_time_format_pre2050	Low	yes	1	0	08-hygiene/ZT-066-e_wrong_time_format_pre2050
ZT-067	08-hygiene	w_subject_common_name_included	Low	yes	1	1	08-hygiene/ZT-067-w_subject_common_name_included
ZT-068	09-absent	e_ca_key_usage_missing	Medium	yes	1	0	09-absent/ZT-068-e_ca_key_usage_missing
ZT-069	01-dating	e_crl_extensions_validity	Medium	yes	1	0	01-dating/ZT-069-e_crl_extensions_validity
ZT-070	01-dating	w_ext_policy_map_not_critical	Medium	no	0	0	01-dating/ZT-070-w_ext_policy_map_not_critical
ZT-071	01-dating	w_ext_cert_policy_explicit_text_not_nfc	Low	no	0	0	01-dating/ZT-071-w_ext_cert_policy_explicit_text_not_nfc
ZT-072	01-dating	n_ecdsa_ee_invalid_ku	Medium	no	0	0	01-dating/ZT-072-n_ecdsa_ee_invalid_ku
ZT-073	01-dating	w_sub_ca_certificate_policies_marked_critical	Medium	no	0	0	01-dating/ZT-073-w_sub_ca_certificate_policies_marked_critica
ZT-074	01-dating	w_sub_ca_eku_critical	Medium	no	0	0	01-dating/ZT-074-w_sub_ca_eku_critical
ZT-075	01-dating	w_dnsname_underscore_in_trd	Medium	no	0	0	01-dating/ZT-075-w_dnsname_underscore_in_trd
ZT-076	01-dating	w_sub_cert_certificate_policies_marked_critical	Medium	no	0	0	01-dating/ZT-076-w_sub_cert_certificate_policies_marked_criti
ZT-077	01-dating	w_sub_cert_sha1_expiration_too_long	Medium	no	0	0	01-dating/ZT-077-w_sub_cert_sha1_expiration_too_long
ZT-078	01-dating	w_ct_sct_policy_count_unsatisfied	Medium	no	0	0	01-dating/ZT-078-w_ct_sct_policy_count_unsatisfied
ZT-079	02-unreachable	w_ext_aia_access_location_missing	High	no	0	0	02-unreachable/ZT-079-w_ext_aia_access_location_missing
ZT-080	04-predicate	e_utf8_latin1_mixup	Medium	yes	1	1	04-predicate/ZT-080-e_utf8_latin1_mixup
ZT-081	04-predicate	-	Low	yes	1	0	04-predicate/ZT-081-an-IP-address-in-a-dNSName-is-reported-as-an
ZT-082	04-predicate	-	Medium	yes	1	1	04-predicate/ZT-082-not-a-CA-certificate-is-used-to-mean-a-Subsc
ZT-083	04-predicate	e_dsa_shorter_than_2048_bits	Medium	yes	1	1	04-predicate/ZT-083-e_dsa_shorter_than_2048_bits
ZT-084	04-predicate	e_crl_next_update_invalid	Medium	yes	1	0	04-predicate/ZT-084-e_crl_next_update_invalid
ZT-085	04-predicate	w_distribution_point_missing_ldap_or_uri	Medium	no	0	0	04-predicate/ZT-085-w_distribution_point_missing_ldap_or_uri
ZT-086	04-predicate	w_ext_cert_policy_explicit_text_includes_control	High	no	0	0	04-predicate/ZT-086-w_ext_cert_policy_explicit_text_includes_con
ZT-087	04-predicate	w_ext_cert_policy_explicit_text_includes_control	Medium	no	0	0	04-predicate/ZT-087-w_ext_cert_policy_explicit_text_includes_con
ZT-088	04-predicate	n_ecdsa_ee_invalid_ku	Low	no	0	0	04-predicate/ZT-088-n_ecdsa_ee_invalid_ku
ZT-089	04-predicate	w_subject_contains_malformed_arpa_ip	Low	no	0	0	04-predicate/ZT-089-w_subject_contains_malformed_arpa_ip
ZT-090	08-hygiene	w_sub_cert_aia_contains_internal_names	Low	no	0	0	08-hygiene/ZT-090-w_sub_cert_aia_contains_internal_names
ZT-091	08-hygiene	w_ct_sct_policy_count_unsatisfied	Low	no	0	0	08-hygiene/ZT-091-w_ct_sct_policy_count_unsatisfied
ZT-092	08-hygiene	w_smime_aia_contains_internal_names	Low	no	0	0	08-hygiene/ZT-092-w_smime_aia_contains_internal_names
ZT-093	08-hygiene	w_etsi_natural_person_key_usage_preferred_values	Low	no	0	0	08-hygiene/ZT-093-w_etsi_natural_person_key_usage_preferred_va
ZT-094	09-absent	-	Medium	yes	2	1	09-absent/ZT-094-BR-6.1.5-s-Subordinate-CA-column-is-a-disjun
